x,y
131,3275
842,21050
988,24700
698,17450
970,24250
752,18800
814,20350
940,23500
403,10075
479,11975
759,18975
1000,25000
496,12400
502,12550
930,23250
952,23800
319,7975
531,13275
745,18625
724,18100
583,14575
903,22575
490,12250
381,9525
469,11725
823,20575
580,14500
458,11450
929,23225
938,23450
648,16200
551,13775
285,7125
921,23025
408,10200
136,3400
607,15175
458,11450
996,24900
581,14525
513,12825
492,12300
143,3575
131,3275
897,22425
246,6150
828,20700
375,9375
245,6125
848,21200
638,15950
342,8550
792,19800
758,18950
439,10975
317,7925
222,5550
171,4275
193,4825
461,11525
197,4925
125,3125
723,18075
226,5650
794,19850
609,15225
132,3300
962,24050
418,10450
131,3275
792,19800
744,18600
365,9125
447,11175
480,12000
200,5000
759,18975
630,15750
140,3500
212,5300
295,7375
541,13525
658,16450
681,17025
537,13425
469,11725
645,16125
311,7775
507,12675
121,3025
712,17800
743,18575
668,16700
712,17800
411,10275
535,13375
138,3450
525,13125
993,24825
459,11475
852,21300
571,14275
693,17325
545,13625
468,11700
846,21150
524,13100
162,4050
102,2550
162,4050
630,15750
872,21800
485,12125
324,8100
623,15575
799,19975
659,16475
277,6925
140,3500
450,11250
198,4950
713,17825
933,23325
951,23775
803,20075
161,4025
573,14325
358,8950
741,18525
742,18550
412,10300
806,20150
841,21025
848,21200
892,22300
583,14575
265,6625
294,7350
237,5925
717,17925
416,10400
123,3075
730,18250
875,21875
624,15600
490,12250
580,14500
500,12500
237,5925
